time,axis_x,axis_y,axis_z
0.00999999978,0.999999937,5.24234261e-13,-0.000354182828
0.0199999996,0.999999506,1.33256098e-12,-0.000994027083
0.0299999993,0.999998452,5.35904657e-12,-0.00175972695
0.0399999991,0.999996667,1.64040499e-11,-0.00258184973
0.0499999989,0.999994079,2.83967568e-11,-0.00344108108
0.0599999987,0.999990623,3.85505338e-11,-0.00433049035
0.0699999984,0.999986248,4.65798141e-11,-0.00524434215
0.0799999982,0.99998092,5.28822034e-11,-0.00617736194
0.089999998,0.999974615,5.78617455e-11,-0.00712529409
0.0999999978,0.999967316,6.18279045e-11,-0.0080849215
0.109999998,0.999959013,6.5016986e-11,-0.00905382059
0.119999997,0.999949697,6.65383756e-11,-0.0100301272
0.129999997,0.999939362,6.45270626e-11,-0.0110123838
0.139999997,0.999928004,5.94612204e-11,-0.011999455
0.149999997,0.999915621,5.23990114e-11,-0.0129904446
0.159999996,0.99990221,4.41327017e-11,-0.0139846386
0.169999996,0.999887772,3.51513068e-11,-0.0149814637
0.179999996,0.999872304,2.57681217e-11,-0.015980458
0.189999996,0.999855808,1.62015188e-11,-0.0169812475
0.199999996,0.999838283,6.60928077e-12,-0.0179835279
0.209999995,0.99981973,-2.89530632e-12,-0.0189870508
0.219999995,0.999800148,-1.2232644e-11,-0.0199916121
0.229999995,0.999779538,-2.13483358e-11,-0.0209970439
0.239999995,0.9997579,-3.02066398e-11,-0.022003207
0.249999994,0.999735235,-3.87855756e-11,-0.023009986
0.259999994,0.999711543,-4.70732978e-11,-0.0240172847
0.269999994,0.999686825,-5.50653929e-11,-0.0250250224
0.279999994,0.999661081,-6.27628494e-11,-0.0260331315
0.289999994,0.99963431,-7.01705275e-11,-0.0270415548
0.299999993,0.999606514,-7.72960053e-11,-0.028050244
0.309999993,0.999577693,-8.41487082e-11,-0.029059158
0.319999993,0.999547848,-9.07392558e-11,-0.0300682617
0.329999993,0.999516977,-9.70789714e-11,-0.0310775251
0.339999992,0.999485082,-1.03179519e-10,-0.0320869224
0.349999992,0.999452163,-1.09052634e-10,-0.0330964314
0.359999992,0.99941822,-1.14709928e-10,-0.0341060328
0.369999992,0.999383247,-1.20202402e-10,-0.0351158846
0.379999992,0.99934724,-1.25546068e-10,-0.0361260819
0.389999991,0.999310213,-1.3063145e-10,-0.037136198
0.399999991,0.999272168,-1.35510538e-10,-0.0381462199
0.409999991,0.999233102,-1.40246684e-10,-0.0391562031
0.419999991,0.999193014,-1.4485438e-10,-0.0401661734
0.42999999,0.999151903,-1.49328118e-10,-0.0411761346
0.43999999,0.999109771,-1.53665636e-10,-0.0421860837
0.44999999,0.999066616,-1.57870879e-10,-0.0431960175
0.45999999,0.99902244,-1.61950469e-10,-0.0442059326
0.469999989,0.998977242,-1.65911322e-10,-0.045215826
0.479999989,0.998931021,-1.69759985e-10,-0.0462256945
0.489999989,0.998883779,-1.73502631e-10,-0.0472355349
0.499999989,0.998835515,-1.77145104e-10,-0.0482453443
0.509999989,0.99878623,-1.80692932e-10,-0.0492551196
0.519999988,0.998735923,-1.84151321e-10,-0.0502648581
0.529999988,0.998684586,-1.87562322e-10,-0.051274731
0.539999988,0.998632212,-1.90933653e-10,-0.0522848449
0.549999988,0.998578823,-1.94156499e-10,-0.0532947857
