time,n_pairs,n_saturated
250.010000,315,0
250.015000,268,0
250.020000,268,0
250.025000,268,0
250.030000,268,0
250.035000,267,0
250.040000,267,0
250.045000,267,0
250.050000,267,0
250.055000,267,0
250.060000,266,0
250.065000,266,0
250.070000,266,0
250.075000,267,0
250.080000,267,0
250.085000,267,0
250.090000,267,0
250.095000,268,0
250.100000,268,0
250.105000,268,0
250.110000,269,0
250.115000,269,0
250.120000,269,0
250.125000,269,0
250.130000,268,0
250.135000,268,0
250.140000,268,0
250.145000,268,0
250.150000,268,0
250.155000,268,0
250.160000,268,0
250.165000,268,0
250.170000,268,0
250.175000,268,0
250.180000,268,0
250.185000,268,0
250.190000,268,0
250.195000,268,0
250.200000,268,0
250.205000,268,0
250.210000,268,0
250.215000,268,0
250.220000,268,0
250.225000,268,0
250.230000,268,0
250.235000,268,0
250.240000,268,0
250.245000,268,0
250.250000,268,0
250.255000,268,0
250.260000,268,0
250.265000,268,0
250.270000,268,0
250.275000,268,0
250.280000,268,0
250.285000,268,0
250.290000,268,0
250.295000,268,0
250.300000,268,0
250.305000,268,0
250.310000,267,0
250.315000,267,0
250.320000,267,0
250.325000,267,0
250.330000,267,0
250.335000,267,1
250.340000,267,1
250.345000,267,1
250.350000,267,1
250.355000,267,1
250.360000,267,1
250.365000,267,1
250.370000,268,1
250.375000,268,1
250.380000,268,1
250.385000,268,1
250.390000,268,1
250.395000,268,1
250.400000,268,1
250.405000,268,1
250.410000,268,1
250.415000,267,1
250.420000,267,1
250.425000,267,1
250.430000,268,1
250.435000,268,1
250.440000,268,1
250.445000,268,1
250.450000,268,1
250.455000,268,1
250.460000,269,1
250.465000,269,1
250.470000,269,1
250.475000,269,1
250.480000,269,1
250.485000,269,1
250.490000,269,1
250.495000,269,1
250.500000,270,1
250.505000,269,1
250.510000,268,1
250.515000,268,1
250.520000,268,1
250.525000,268,2
250.530000,268,2
250.535000,268,2
250.540000,268,2
250.545000,268,2
250.550000,268,2
250.555000,268,2
250.560000,268,2
250.565000,268,2
250.570000,268,2
250.575000,268,2
250.580000,269,2
250.585000,268,2
250.590000,267,2
250.595000,267,3
250.600000,267,4
250.605000,266,4
250.610000,266,4
250.615000,266,4
250.620000,266,4
250.625000,266,4
250.630000,266,4
250.635000,266,4
250.640000,266,4
250.645000,266,4
250.650000,266,4
250.655000,266,4
250.660000,266,4
250.665000,266,4
250.670000,266,5
250.675000,266,5
250.680000,266,5
250.685000,266,5
250.690000,267,5
250.695000,267,5
250.700000,266,5
250.705000,266,5
250.710000,266,5
250.715000,266,5
250.720000,266,5
250.725000,266,5
250.730000,267,5
250.735000,267,5
250.740000,267,5
250.745000,267,5
250.750000,267,5
250.755000,267,5
250.760000,266,5
250.765000,266,5
250.770000,266,5
250.775000,266,5
250.780000,266,5
250.785000,266,5
250.790000,266,5
250.795000,266,5
250.800000,267,5
250.805000,267,5
250.810000,267,5
250.815000,267,5
250.820000,267,5
250.825000,268,5
250.830000,268,5
250.835000,268,5
250.840000,268,5
250.845000,268,5
250.850000,267,5
250.855000,267,5
250.860000,267,5
250.865000,267,5
250.870000,266,5
250.875000,266,5
250.880000,266,5
250.885000,265,5
250.890000,265,6
250.895000,265,6
250.900000,265,6
250.905000,265,6
250.910000,265,6
250.915000,265,6
250.920000,265,6
250.925000,265,6
250.930000,265,6
250.935000,265,6
250.940000,264,6
250.945000,264,6
250.950000,264,6
250.955000,264,6
250.960000,262,6
250.965000,262,6
250.970000,262,6
250.975000,262,6
250.980000,262,6
250.985000,261,6
250.990000,261,6
250.995000,260,6
251.000000,261,6
251.005000,261,6
251.010000,261,6
251.015000,261,6
251.020000,261,6
251.025000,261,6
251.030000,261,6
251.035000,262,6
251.040000,262,6
251.045000,262,6
251.050000,262,6
251.055000,262,6
251.060000,261,6
251.065000,261,6
251.070000,261,6
251.075000,261,6
251.080000,261,6
251.085000,261,6
251.090000,261,6
251.095000,261,6
251.100000,261,6
251.105000,261,6
251.110000,261,6
251.115000,261,6
251.120000,261,6
251.125000,261,6
251.130000,261,6
251.135000,260,6
251.140000,260,6
251.145000,259,6
251.150000,259,6
251.155000,259,6
251.160000,259,6
251.165000,259,6
251.170000,260,6
251.175000,260,6
251.180000,260,6
251.185000,260,6
251.190000,260,6
251.195000,260,6
251.200000,260,7
251.205000,260,7
251.210000,260,7
251.215000,260,7
251.220000,260,7
251.225000,260,7
251.230000,260,7
251.235000,259,7
251.240000,259,7
251.245000,259,7
251.250000,259,7
251.255000,259,7
251.260000,259,7
251.265000,259,7
251.270000,259,7
251.275000,259,7
251.280000,259,7
251.285000,259,7
251.290000,259,7
251.295000,259,7
251.300000,259,7
251.305000,259,7
251.310000,259,7
251.315000,259,7
251.320000,259,7
251.325000,259,7
251.330000,259,7
251.335000,259,7
251.340000,259,7
251.345000,259,7
251.350000,259,7
251.355000,259,7
251.360000,259,7
251.365000,259,7
251.370000,259,7
251.375000,259,7
251.380000,259,7
251.385000,259,7
251.390000,259,7
251.395000,259,7
251.400000,260,7
251.405000,260,7
251.410000,260,7
251.415000,260,7
251.420000,259,7
251.425000,259,7
251.430000,259,7
251.435000,260,7
251.440000,260,7
251.445000,260,7
251.450000,260,7
251.455000,260,7
251.460000,260,7
251.465000,260,7
251.470000,260,7
251.475000,260,7
251.480000,261,7
251.485000,261,7
251.490000,261,7
251.495000,261,7
251.500000,261,7
251.505000,261,7
251.510000,261,7
251.515000,261,7
251.520000,261,8
251.525000,261,8
251.530000,261,8
251.535000,261,8
251.540000,262,8
251.545000,262,8
251.550000,262,8
251.555000,262,8
251.560000,262,8
251.565000,262,8
251.570000,262,8
251.575000,262,8
251.580000,262,8
251.585000,262,8
251.590000,262,8
251.595000,262,8
251.600000,262,8
251.605000,262,8
251.610000,262,8
251.615000,263,8
251.620000,263,8
251.625000,263,8
251.630000,263,8
251.635000,263,8
251.640000,263,8
251.645000,263,8
251.650000,263,8
251.655000,263,8
251.660000,263,8
251.665000,263,8
251.670000,263,8
251.675000,263,8
251.680000,263,8
251.685000,263,8
251.690000,263,8
251.695000,263,8
251.700000,263,8
251.705000,263,8
251.710000,263,8
251.715000,263,8
251.720000,263,8
251.725000,263,8
251.730000,263,8
251.735000,263,8
251.740000,263,8
251.745000,263,9
251.750000,262,9
251.755000,262,9
251.760000,262,9
251.765000,261,9
251.770000,261,9
251.775000,261,9
251.780000,259,9
251.785000,260,9
251.790000,260,9
251.795000,260,9
251.800000,260,9
251.805000,260,9
251.810000,260,9
251.815000,260,9
251.820000,260,9
251.825000,259,9
251.830000,260,9
251.835000,260,9
251.840000,260,9
251.845000,260,9
251.850000,260,9
251.855000,260,9
251.860000,260,9
251.865000,260,9
251.870000,260,9
251.875000,260,9
251.880000,260,9
251.885000,261,9
251.890000,261,9
251.895000,261,9
251.900000,261,9
251.905000,261,9
251.910000,261,9
251.915000,261,9
251.920000,262,9
251.925000,262,9
251.930000,262,9
251.935000,262,9
251.940000,262,10
251.945000,262,10
251.950000,262,10
251.955000,262,10
251.960000,262,10
251.965000,262,10
251.970000,262,10
251.975000,262,10
251.980000,262,10
251.985000,262,10
251.990000,262,10
251.995000,262,10
252.000000,262,11
252.005000,262,11
252.010000,262,11
252.015000,261,11
252.020000,261,11
252.025000,261,11
252.030000,261,11
252.035000,262,11
252.040000,262,11
252.045000,262,11
252.050000,262,11
252.055000,262,11
252.060000,262,11
252.065000,263,11
252.070000,263,11
252.075000,263,11
252.080000,263,11
252.085000,263,11
252.090000,263,11
252.095000,263,11
252.100000,263,11
252.105000,263,11
252.110000,263,11
252.115000,263,11
252.120000,263,11
252.125000,263,11
252.130000,263,11
252.135000,263,11
252.140000,262,11
252.145000,262,11
252.150000,262,11
252.155000,262,11
252.160000,262,11
252.165000,262,11
252.170000,261,11
252.175000,261,11
252.180000,261,12
252.185000,261,12
252.190000,260,12
252.195000,260,12
252.200000,259,12
252.205000,259,12
252.210000,259,12
252.215000,258,12
252.220000,258,12
252.225000,258,12
252.230000,258,12
252.235000,258,12
252.240000,258,12
252.245000,257,12
252.250000,256,12
252.255000,256,12
252.260000,256,12
252.265000,256,12
252.270000,256,12
252.275000,256,12
252.280000,256,12
252.285000,256,12
252.290000,256,12
252.295000,256,12
252.300000,256,12
252.305000,256,12
252.310000,255,12
252.315000,255,12
252.320000,254,12
252.325000,254,12
252.330000,255,12
252.335000,255,12
252.340000,255,12
252.345000,255,12
252.350000,256,12
252.355000,256,12
252.360000,256,12
252.365000,256,12
252.370000,255,12
252.375000,255,12
252.380000,255,12
252.385000,255,12
252.390000,254,12
252.395000,254,12
252.400000,254,12
252.405000,254,12
252.410000,253,12
252.415000,253,12
252.420000,253,12
252.425000,254,12
252.430000,254,12
252.435000,254,12
252.440000,254,12
252.445000,254,12
252.450000,254,12
252.455000,254,12
252.460000,254,12
252.465000,254,12
252.470000,254,12
252.475000,254,12
252.480000,254,12
252.485000,254,12
252.490000,254,12
252.495000,254,12
252.500000,254,12
252.505000,254,12
252.510000,254,12
252.515000,254,12
252.520000,254,12
252.525000,254,12
252.530000,254,12
252.535000,254,12
252.540000,254,12
252.545000,254,12
252.550000,254,12
252.555000,254,12
252.560000,254,12
252.565000,254,12
252.570000,254,12
252.575000,254,12
252.580000,254,12
252.585000,254,12
252.590000,254,12
252.595000,254,12
252.600000,255,12
252.605000,255,12
252.610000,255,12
252.615000,255,12
252.620000,255,12
252.625000,255,12
252.630000,255,12
252.635000,255,12
252.640000,255,12
252.645000,255,12
252.650000,256,12
252.655000,256,12
252.660000,256,12
252.665000,256,12
252.670000,256,12
252.675000,256,12
252.680000,256,12
252.685000,256,11
252.690000,256,11
252.695000,256,11
252.700000,256,11
252.705000,256,11
252.710000,256,12
252.715000,256,12
252.720000,256,12
252.725000,256,12
252.730000,256,12
252.735000,256,12
252.740000,256,12
252.745000,256,12
252.750000,256,12
252.755000,256,12
252.760000,256,12
252.765000,256,12
252.770000,256,12
252.775000,256,12
252.780000,256,12
252.785000,257,12
252.790000,257,12
252.795000,257,12
252.800000,257,12
252.805000,257,12
252.810000,257,12
252.815000,257,12
252.820000,257,12
252.825000,258,12
252.830000,258,12
252.835000,258,12
252.840000,258,12
252.845000,258,12
252.850000,258,12
252.855000,258,12
252.860000,258,12
252.865000,258,12
252.870000,257,12
252.875000,258,12
252.880000,259,12
252.885000,259,12
252.890000,259,12
252.895000,259,12
252.900000,258,12
252.905000,258,12
252.910000,258,12
252.915000,258,12
252.920000,257,12
252.925000,258,12
252.930000,258,12
252.935000,258,13
252.940000,258,13
252.945000,258,13
252.950000,259,13
252.955000,259,13
252.960000,259,13
252.965000,259,13
252.970000,259,13
252.975000,259,13
252.980000,259,13
252.985000,259,14
252.990000,259,14
252.995000,259,14
253.000000,259,14
253.005000,259,14
253.010000,259,14
253.015000,259,14
253.020000,259,14
253.025000,259,14
253.030000,259,14
253.035000,259,14
253.040000,259,14
253.045000,259,14
253.050000,259,14
253.055000,259,14
253.060000,259,14
253.065000,259,14
253.070000,259,14
253.075000,259,14
253.080000,259,14
253.085000,259,14
253.090000,259,15
253.095000,259,15
253.100000,259,15
253.105000,259,15
253.110000,259,15
253.115000,259,15
253.120000,259,15
253.125000,259,15
253.130000,259,15
253.135000,259,15
253.140000,259,15
253.145000,259,16
253.150000,259,16
253.155000,259,16
253.160000,260,17
253.165000,262,17
253.170000,262,17
253.175000,262,17
253.180000,261,17
253.185000,261,17
253.190000,261,17
253.195000,261,17
253.200000,261,17
253.205000,261,17
253.210000,261,17
253.215000,261,17
253.220000,261,17
253.225000,261,17
253.230000,261,17
253.235000,261,17
253.240000,262,17
253.245000,262,17
253.250000,262,17
253.255000,262,17
253.260000,262,17
253.265000,261,17
253.270000,261,17
253.275000,261,17
253.280000,261,17
253.285000,261,17
253.290000,261,17
253.295000,261,18
253.300000,261,18
253.305000,261,18
253.310000,261,19
253.315000,261,19
253.320000,262,19
253.325000,262,19
253.330000,262,19
253.335000,262,19
253.340000,262,19
253.345000,263,19
253.350000,263,19
253.355000,263,19
253.360000,263,19
253.365000,263,19
253.370000,263,20
253.375000,263,20
253.380000,263,20
253.385000,263,20
253.390000,263,20
253.395000,263,20
253.400000,263,20
253.405000,263,20
253.410000,263,20
253.415000,262,20
253.420000,262,20
253.425000,262,20
253.430000,262,20
253.435000,262,20
253.440000,262,20
253.445000,262,20
253.450000,262,20
253.455000,262,20
253.460000,262,20
253.465000,262,20
253.470000,263,20
253.475000,263,20
253.480000,262,20
253.485000,262,20
253.490000,262,20
253.495000,262,20
253.500000,262,21
253.505000,262,21
253.510000,262,21
253.515000,262,21
253.520000,262,21
253.525000,262,21
253.530000,263,21
253.535000,262,21
253.540000,262,21
253.545000,262,21
253.550000,262,22
253.555000,262,22
253.560000,262,22
253.565000,262,22
253.570000,261,22
253.575000,261,22
253.580000,261,22
253.585000,261,22
253.590000,262,22
253.595000,262,22
253.600000,262,22
253.605000,262,22
253.610000,262,23
253.615000,262,23
253.620000,262,23
253.625000,262,23
253.630000,262,23
253.635000,262,23
253.640000,262,23
253.645000,262,23
253.650000,262,23
253.655000,262,23
253.660000,262,23
253.665000,263,23
253.670000,263,23
253.675000,263,23
253.680000,264,23
253.685000,264,24
253.690000,264,24
253.695000,264,24
253.700000,264,24
253.705000,264,24
253.710000,264,24
253.715000,264,24
253.720000,264,24
253.725000,264,24
253.730000,264,24
253.735000,265,24
253.740000,266,25
253.745000,266,25
253.750000,266,25
253.755000,266,25
253.760000,266,25
253.765000,266,25
253.770000,266,25
253.775000,266,25
253.780000,267,25
253.785000,268,25
253.790000,267,25
253.795000,267,25
253.800000,267,25
253.805000,268,25
253.810000,268,25
253.815000,268,26
253.820000,268,26
253.825000,268,26
253.830000,268,26
253.835000,268,26
253.840000,268,26
253.845000,268,26
253.850000,268,26
253.855000,268,26
253.860000,268,26
253.865000,268,26
253.870000,268,26
253.875000,268,26
253.880000,268,26
253.885000,268,26
253.890000,268,26
253.895000,268,26
253.900000,268,26
253.905000,268,26
253.910000,269,26
253.915000,269,26
253.920000,269,26
253.925000,269,26
253.930000,268,26
253.935000,268,26
253.940000,268,26
253.945000,268,26
253.950000,268,26
253.955000,268,26
253.960000,268,26
253.965000,268,26
253.970000,268,26
253.975000,268,26
253.980000,268,26
253.985000,269,26
253.990000,269,26
253.995000,269,26
254.000000,269,26
254.005000,269,26
254.010000,268,26
254.015000,269,27
254.020000,269,27
254.025000,269,27
254.030000,269,27
254.035000,269,27
254.040000,267,27
254.045000,267,28
254.050000,267,29
254.055000,267,29
254.060000,267,29
254.065000,267,29
254.070000,267,29
254.075000,266,28
254.080000,266,28
254.085000,267,28
254.090000,267,28
254.095000,267,28
254.100000,267,28
254.105000,267,28
254.110000,268,29
254.115000,268,29
254.120000,268,29
254.125000,268,29
254.130000,268,29
254.135000,268,29
254.140000,268,29
254.145000,268,29
254.150000,268,29
254.155000,269,29
254.160000,269,29
254.165000,269,29
254.170000,269,29
254.175000,269,29
254.180000,269,29
254.185000,269,29
254.190000,268,29
254.195000,268,29
254.200000,268,29
254.205000,268,29
254.210000,268,29
254.215000,268,29
254.220000,267,29
254.225000,267,29
254.230000,267,29
254.235000,267,29
254.240000,267,29
254.245000,267,29
254.250000,266,29
254.255000,266,29
254.260000,266,29
254.265000,266,29
254.270000,266,29
254.275000,266,29
254.280000,265,28
254.285000,265,28
254.290000,265,28
254.295000,265,28
254.300000,265,28
254.305000,265,28
254.310000,265,28
254.315000,265,29
254.320000,265,29
254.325000,265,29
254.330000,264,29
254.335000,264,29
254.340000,264,29
254.345000,264,29
254.350000,264,29
254.355000,264,29
254.360000,264,29
254.365000,264,29
254.370000,264,29
254.375000,264,29
254.380000,264,29
254.385000,264,29
254.390000,264,29
254.395000,264,30
254.400000,264,30
254.405000,265,30
254.410000,265,30
254.415000,265,30
254.420000,265,30
254.425000,265,30
254.430000,266,30
254.435000,266,30
254.440000,266,30
254.445000,266,30
254.450000,266,30
254.455000,266,30
254.460000,267,30
254.465000,267,30
254.470000,267,31
254.475000,267,31
254.480000,267,31
254.485000,267,31
254.490000,266,31
254.495000,266,31
254.500000,266,31
254.505000,266,31
254.510000,266,31
254.515000,265,31
254.520000,265,31
254.525000,265,31
254.530000,264,31
254.535000,264,31
254.540000,264,31
254.545000,264,31
254.550000,263,31
254.555000,263,31
254.560000,263,31
254.565000,263,31
254.570000,263,31
254.575000,263,31
254.580000,263,31
254.585000,263,31
254.590000,263,31
254.595000,263,31
254.600000,263,31
254.605000,263,31
254.610000,263,31
254.615000,262,31
254.620000,263,31
254.625000,263,32
254.630000,263,32
254.635000,263,32
254.640000,263,32
254.645000,263,32
254.650000,263,32
254.655000,263,32
254.660000,263,32
254.665000,263,32
254.670000,263,32
254.675000,263,32
254.680000,263,32
254.685000,263,32
254.690000,263,32
254.695000,263,32
254.700000,263,32
254.705000,263,32
254.710000,263,32
254.715000,262,32
254.720000,262,33
254.725000,262,33
254.730000,262,33
254.735000,262,33
254.740000,263,33
254.745000,263,33
254.750000,263,33
254.755000,263,33
254.760000,263,33
254.765000,263,33
254.770000,263,34
254.775000,263,34
254.780000,263,34
254.785000,263,34
254.790000,263,34
254.795000,264,34
254.800000,264,34
254.805000,264,34
254.810000,264,34
254.815000,264,34
254.820000,264,34
254.825000,264,34
254.830000,264,34
254.835000,264,34
254.840000,264,34
254.845000,264,34
254.850000,264,34
254.855000,264,34
254.860000,264,34
254.865000,264,35
254.870000,264,35
254.875000,264,35
254.880000,264,35
254.885000,264,35
254.890000,264,35
254.895000,264,35
254.900000,264,35
254.905000,264,35
254.910000,265,35
254.915000,265,35
254.920000,265,34
254.925000,266,35
254.930000,266,35
254.935000,266,35
254.940000,266,35
254.945000,266,35
254.950000,266,35
254.955000,265,35
254.960000,265,35
254.965000,265,35
254.970000,265,35
254.975000,265,35
254.980000,265,35
254.985000,265,35
254.990000,265,36
254.995000,265,36
255.000000,265,36
255.005000,265,36
255.010000,265,36
255.015000,265,36
255.020000,266,36
255.025000,265,37
255.030000,265,37
255.035000,264,37
255.040000,264,37
255.045000,264,37
255.050000,264,37
255.055000,264,37
255.060000,264,37
255.065000,264,38
255.070000,264,38
255.075000,264,38
255.080000,264,38
255.085000,263,38
255.090000,263,38
255.095000,263,38
255.100000,263,38
255.105000,263,38
255.110000,264,38
255.115000,264,38
255.120000,264,38
255.125000,264,38
255.130000,264,38
255.135000,264,38
255.140000,264,38
255.145000,265,38
255.150000,265,38
255.155000,265,38
255.160000,265,38
255.165000,264,38
255.170000,264,38
255.175000,264,38
255.180000,264,38
255.185000,264,38
255.190000,264,38
255.195000,265,38
255.200000,265,38
255.205000,265,38
255.210000,265,38
255.215000,264,38
255.220000,264,38
255.225000,264,38
255.230000,264,38
255.235000,264,38
255.240000,264,38
255.245000,264,38
255.250000,265,38
255.255000,265,39
255.260000,265,39
255.265000,265,39
255.270000,265,39
255.275000,265,39
255.280000,264,38
255.285000,264,38
255.290000,264,38
255.295000,264,38
255.300000,264,38
255.305000,264,38
255.310000,264,38
255.315000,265,39
255.320000,264,38
255.325000,264,38
255.330000,264,38
255.335000,264,38
255.340000,264,38
255.345000,264,38
255.350000,264,38
255.355000,265,39
255.360000,264,38
255.365000,264,38
255.370000,264,38
255.375000,264,38
255.380000,264,38
255.385000,264,38
255.390000,264,38
255.395000,265,39
255.400000,264,38
255.405000,264,38
255.410000,264,38
255.415000,264,39
255.420000,264,39
255.425000,264,39
255.430000,264,39
255.435000,265,40
255.440000,265,39
255.445000,265,39
255.450000,265,39
255.455000,265,39
255.460000,265,39
255.465000,265,39
255.470000,265,39
255.475000,266,40
255.480000,266,39
255.485000,265,39
255.490000,265,39
255.495000,265,39
255.500000,265,39
255.505000,265,39
255.510000,265,39
255.515000,266,40
255.520000,265,39
255.525000,265,39
255.530000,265,39
255.535000,265,39
255.540000,265,39
255.545000,265,39
255.550000,265,39
255.555000,266,40
255.560000,265,39
255.565000,265,40
255.570000,265,41
255.575000,265,41
255.580000,265,41
255.585000,265,41
255.590000,265,41
255.595000,266,42
255.600000,265,41
255.605000,265,41
255.610000,265,41
255.615000,265,41
255.620000,265,41
255.625000,265,41
255.630000,266,41
255.635000,267,42
255.640000,266,41
255.645000,266,41
255.650000,266,41
255.655000,266,41
255.660000,266,41
255.665000,266,42
255.670000,267,43
255.675000,267,43
255.680000,266,42
255.685000,266,42
255.690000,266,42
255.695000,266,42
255.700000,266,42
255.705000,266,42
255.710000,267,43
255.715000,267,43
255.720000,266,42
255.725000,266,42
255.730000,266,42
255.735000,266,42
255.740000,266,42
255.745000,266,42
255.750000,267,43
255.755000,267,43
255.760000,266,42
255.765000,266,42
255.770000,266,42
255.775000,266,42
255.780000,265,42
255.785000,265,42
255.790000,266,43
255.795000,266,43
255.800000,265,42
255.805000,264,43
255.810000,264,43
255.815000,264,43
255.820000,264,43
255.825000,264,43
255.830000,266,45
255.835000,265,45
255.840000,264,44
255.845000,264,44
255.850000,264,44
255.855000,264,44
255.860000,264,44
255.865000,264,44
255.870000,265,45
255.875000,264,44
255.880000,264,44
255.885000,264,44
255.890000,264,44
255.895000,264,44
255.900000,264,44
255.905000,265,45
255.910000,264,44
255.915000,264,44
255.920000,264,44
255.925000,264,44
255.930000,263,44
255.935000,263,44
255.940000,264,45
255.945000,263,44
255.950000,263,44
255.955000,263,44
255.960000,263,44
255.965000,263,44
255.970000,263,44
255.975000,264,45
255.980000,263,44
255.985000,263,44
255.990000,263,44
255.995000,263,44
256.000000,263,44
256.005000,263,44
256.010000,264,45
256.015000,262,44
256.020000,262,44
256.025000,262,44
256.030000,263,44
256.035000,263,44
256.040000,263,44
256.045000,264,45
256.050000,263,44
256.055000,263,45
256.060000,263,45
256.065000,264,45
256.070000,264,45
256.075000,265,45
256.080000,266,46
256.085000,265,45
256.090000,265,45
256.095000,265,45
256.100000,265,45
256.105000,265,45
256.110000,265,45
256.115000,266,46
256.120000,266,45
256.125000,266,45
256.130000,266,45
256.135000,266,45
256.140000,266,45
256.145000,265,45
256.150000,266,46
256.155000,265,45
256.160000,265,45
256.165000,265,45
256.170000,265,46
256.175000,265,46
256.180000,265,46
256.185000,265,46
256.190000,264,45
256.195000,265,46
256.200000,264,45
256.205000,264,45
256.210000,265,46
256.215000,264,45
256.220000,265,46
256.225000,264,45
256.230000,265,46
256.235000,264,45
256.240000,264,45
256.245000,264,45
256.250000,263,45
256.255000,264,46
256.260000,264,46
256.265000,263,45
256.270000,263,45
256.275000,263,45
256.280000,263,45
256.285000,263,45
256.290000,265,47
256.295000,263,45
256.300000,264,45
256.305000,264,45
256.310000,264,45
256.315000,264,45
256.320000,265,46
256.325000,265,46
256.330000,264,45
256.335000,264,45
256.340000,264,45
256.345000,264,45
256.350000,265,46
256.355000,264,45
256.360000,264,46
256.365000,263,45
256.370000,263,45
256.375000,263,45
256.380000,265,46
256.385000,264,45
256.390000,265,45
256.395000,266,46
256.400000,265,45
256.405000,265,45
256.410000,266,46
256.415000,266,45
256.420000,266,45
256.425000,266,45
256.430000,266,46
256.435000,265,45
256.440000,266,46
256.445000,265,45
256.450000,265,45
256.455000,265,45
256.460000,265,45
256.465000,266,46
256.470000,266,46
256.475000,265,45
256.480000,265,45
256.485000,265,45
256.490000,265,45
256.495000,265,45
256.500000,267,47
256.505000,265,45
256.510000,265,43
256.515000,265,43
256.520000,265,43
256.525000,265,43
256.530000,266,44
256.535000,266,44
256.540000,266,44
256.545000,266,44
256.550000,265,43
256.555000,265,43
256.560000,266,44
256.565000,266,44
256.570000,267,46
256.575000,266,45
256.580000,267,46
256.585000,268,47
256.590000,266,46
256.595000,265,46
256.600000,265,46
256.605000,266,47
256.610000,265,46
256.615000,266,47
256.620000,267,49
256.625000,266,48
256.630000,265,47
256.635000,265,47
256.640000,267,48
256.645000,267,48
256.650000,267,48
256.655000,266,47
256.660000,267,49
256.665000,267,49
256.670000,266,48
256.675000,268,50
256.680000,267,49
256.685000,266,48
256.690000,266,49
256.695000,266,49
256.700000,267,50
256.705000,268,51
256.710000,268,51
256.715000,266,49
256.720000,267,49
256.725000,267,49
256.730000,267,49
256.735000,268,50
256.740000,268,50
256.745000,269,51
256.750000,267,49
256.755000,266,49
256.760000,268,50
256.765000,268,50
256.770000,267,49
256.775000,266,49
256.780000,268,51
256.785000,267,50
256.790000,267,50
256.795000,266,49
256.800000,266,49
256.805000,266,49
256.810000,265,50
256.815000,266,51
256.820000,266,52
256.825000,264,50
256.830000,263,49
256.835000,263,49
256.840000,263,50
256.845000,263,50
256.850000,263,50
256.855000,262,49
256.860000,263,51
256.865000,263,51
256.870000,261,50
256.875000,261,51
256.880000,261,51
256.885000,260,51
256.890000,259,50
256.895000,259,50
256.900000,261,52
256.905000,260,52
256.910000,258,50
256.915000,259,51
256.920000,259,51
256.925000,259,51
256.930000,260,51
256.935000,259,50
256.940000,260,51
256.945000,261,52
256.950000,259,51
256.955000,260,52
256.960000,258,50
256.965000,258,50
256.970000,258,50
256.975000,258,50
256.980000,260,52
256.985000,261,53
256.990000,259,51
256.995000,259,50
257.000000,259,50
257.005000,260,51
257.010000,258,49
257.015000,258,49
257.020000,260,51
257.025000,260,51
257.030000,260,51
257.035000,261,50
257.040000,261,49
257.045000,261,49
257.050000,261,49
257.055000,264,52
257.060000,262,50
257.065000,262,50
257.070000,260,48
257.075000,261,49
257.080000,262,50
257.085000,260,48
257.090000,261,49
257.095000,263,50
257.100000,261,48
257.105000,264,51
257.110000,262,49
257.115000,260,48
257.120000,260,48
257.125000,262,50
257.130000,263,51
257.135000,260,48
257.140000,260,48
257.145000,261,49
257.150000,260,48
257.155000,263,51
257.160000,260,48
257.165000,260,48
257.170000,260,48
257.175000,259,47
257.180000,261,49
257.185000,262,50
257.190000,259,47
257.195000,261,49
257.200000,259,48
257.205000,260,49
257.210000,258,47
257.215000,259,48
257.220000,259,48
257.225000,261,49
257.230000,264,52
257.235000,260,48
257.240000,259,47
257.245000,260,48
257.250000,260,47
257.255000,262,49
257.260000,261,48
257.265000,265,51
257.270000,262,48
257.275000,262,49
257.280000,263,50
257.285000,261,48
257.290000,261,48
257.295000,262,49
257.300000,265,52
257.305000,267,53
257.310000,262,48
257.315000,262,48
257.320000,262,48
257.325000,262,48
257.330000,264,50
257.335000,267,53
257.340000,262,48
257.345000,263,49
257.350000,262,48
257.355000,264,50
257.360000,262,48
257.365000,264,50
257.370000,265,51
