time,T_dna,T_res
250.010000,-1.47510555e+02,-1.16094730e+02
250.015000,-1.46639073e+02,-1.15223262e+02
250.020000,-1.45851193e+02,-1.14435390e+02
250.025000,-1.45167471e+02,-1.13751768e+02
250.030000,-1.44630811e+02,-1.13215144e+02
250.035000,-1.44250814e+02,-1.12835154e+02
250.040000,-1.44006464e+02,-1.12590816e+02
250.045000,-1.43869650e+02,-1.12454018e+02
250.050000,-1.43819914e+02,-1.12404301e+02
250.055000,-1.43844474e+02,-1.12428871e+02
250.060000,-1.43932345e+02,-1.12516749e+02
250.065000,-1.44071325e+02,-1.12655732e+02
250.070000,-1.44249297e+02,-1.12833706e+02
250.075000,-1.44456638e+02,-1.13041048e+02
250.080000,-1.44686864e+02,-1.13271279e+02
250.085000,-1.44935472e+02,-1.13519887e+02
250.090000,-1.45198406e+02,-1.13782819e+02
250.095000,-1.45471496e+02,-1.14055908e+02
250.100000,-1.45750920e+02,-1.14335327e+02
250.105000,-1.46033781e+02,-1.14618189e+02
250.110000,-1.46318224e+02,-1.14902629e+02
250.115000,-1.46602922e+02,-1.15187326e+02
250.120000,-1.46886626e+02,-1.15471026e+02
250.125000,-1.47168014e+02,-1.15752410e+02
250.130000,-1.47445878e+02,-1.16030272e+02
250.135000,-1.47719349e+02,-1.16303739e+02
250.140000,-1.47987920e+02,-1.16572307e+02
250.145000,-1.48251274e+02,-1.16835658e+02
250.150000,-1.48509106e+02,-1.17093488e+02
250.155000,-1.48761088e+02,-1.17345466e+02
250.160000,-1.49006935e+02,-1.17591312e+02
250.165000,-1.49246499e+02,-1.17830872e+02
250.170000,-1.49479754e+02,-1.18064125e+02
250.175000,-1.49706746e+02,-1.18291113e+02
250.180000,-1.49927488e+02,-1.18511856e+02
250.185000,-1.50141996e+02,-1.18726357e+02
250.190000,-1.50350258e+02,-1.18934616e+02
250.195000,-1.50552323e+02,-1.19136677e+02
250.200000,-1.50748268e+02,-1.19332620e+02
250.205000,-1.50938226e+02,-1.19522573e+02
250.210000,-1.51122336e+02,-1.19706681e+02
250.215000,-1.51300764e+02,-1.19885108e+02
250.220000,-1.51473669e+02,-1.20058011e+02
250.225000,-1.51641196e+02,-1.20225534e+02
250.230000,-1.51803456e+02,-1.20387792e+02
250.235000,-1.51960564e+02,-1.20544897e+02
250.240000,-1.52112634e+02,-1.20696965e+02
250.245000,-1.52259783e+02,-1.20844113e+02
250.250000,-1.52402127e+02,-1.20986454e+02
250.255000,-1.52539789e+02,-1.21124114e+02
250.260000,-1.52672898e+02,-1.21257221e+02
250.265000,-1.52801575e+02,-1.21385895e+02
250.270000,-1.52925920e+02,-1.21510239e+02
250.275000,-1.53046042e+02,-1.21630360e+02
250.280000,-1.53162060e+02,-1.21746376e+02
250.285000,-1.53274102e+02,-1.21858417e+02
250.290000,-1.53382310e+02,-1.21966622e+02
250.295000,-1.53486803e+02,-1.22071115e+02
250.300000,-1.53587687e+02,-1.22171997e+02
250.305000,-1.53685053e+02,-1.22269360e+02
250.310000,-1.53779002e+02,-1.22363310e+02
250.315000,-1.53869665e+02,-1.22453971e+02
250.320000,-1.53957156e+02,-1.22541460e+02
250.325000,-1.54041573e+02,-1.22625876e+02
250.330000,-1.54123011e+02,-1.22707315e+02
250.335000,-1.54201558e+02,-1.22785859e+02
250.340000,-1.54277265e+02,-1.22861567e+02
250.345000,-1.54350193e+02,-1.22934493e+02
250.350000,-1.54420393e+02,-1.23004694e+02
250.355000,-1.54487941e+02,-1.23072241e+02
250.360000,-1.54552920e+02,-1.23137218e+02
250.365000,-1.54615405e+02,-1.23199704e+02
250.370000,-1.54675459e+02,-1.23259754e+02
250.375000,-1.54733116e+02,-1.23317412e+02
250.380000,-1.54788433e+02,-1.23372728e+02
250.385000,-1.54841451e+02,-1.23425746e+02
250.390000,-1.54892216e+02,-1.23476511e+02
250.395000,-1.54940775e+02,-1.23525070e+02
250.400000,-1.54987192e+02,-1.23571485e+02
250.405000,-1.55031548e+02,-1.23615841e+02
250.410000,-1.55073936e+02,-1.23658228e+02
250.415000,-1.55114442e+02,-1.23698733e+02
250.420000,-1.55153143e+02,-1.23737434e+02
250.425000,-1.55190117e+02,-1.23774407e+02
250.430000,-1.55225448e+02,-1.23809737e+02
250.435000,-1.55259198e+02,-1.23843487e+02
250.440000,-1.55291396e+02,-1.23875685e+02
250.445000,-1.55322066e+02,-1.23906356e+02
250.450000,-1.55351253e+02,-1.23935541e+02
250.455000,-1.55378986e+02,-1.23963274e+02
250.460000,-1.55405298e+02,-1.23989585e+02
250.465000,-1.55430223e+02,-1.24014510e+02
250.470000,-1.55453826e+02,-1.24038113e+02
250.475000,-1.55476190e+02,-1.24060475e+02
250.480000,-1.55497391e+02,-1.24081676e+02
250.485000,-1.55517496e+02,-1.24101780e+02
250.490000,-1.55536538e+02,-1.24120820e+02
250.495000,-1.55554532e+02,-1.24138814e+02
250.500000,-1.55571494e+02,-1.24155777e+02
250.505000,-1.55587444e+02,-1.24171727e+02
250.510000,-1.55602399e+02,-1.24186680e+02
250.515000,-1.55616364e+02,-1.24200645e+02
250.520000,-1.55629345e+02,-1.24213625e+02
250.525000,-1.55641346e+02,-1.24225626e+02
250.530000,-1.55652395e+02,-1.24236675e+02
250.535000,-1.55662524e+02,-1.24246804e+02
250.540000,-1.55671761e+02,-1.24256040e+02
250.545000,-1.55680114e+02,-1.24264393e+02
250.550000,-1.55687604e+02,-1.24271883e+02
250.555000,-1.55694222e+02,-1.24278503e+02
250.560000,-1.55699946e+02,-1.24284225e+02
250.565000,-1.55704753e+02,-1.24289032e+02
250.570000,-1.55708659e+02,-1.24292937e+02
250.575000,-1.55711671e+02,-1.24295949e+02
250.580000,-1.55713794e+02,-1.24298071e+02
250.585000,-1.55715042e+02,-1.24299319e+02
250.590000,-1.55715467e+02,-1.24299744e+02
250.595000,-1.55715153e+02,-1.24299430e+02
250.600000,-1.55714181e+02,-1.24298457e+02
250.605000,-1.55712583e+02,-1.24296859e+02
250.610000,-1.55710393e+02,-1.24294668e+02
250.615000,-1.55707635e+02,-1.24291909e+02
250.620000,-1.55704307e+02,-1.24288582e+02
250.625000,-1.55700393e+02,-1.24284668e+02
250.630000,-1.55695863e+02,-1.24280138e+02
250.635000,-1.55690714e+02,-1.24274988e+02
250.640000,-1.55684963e+02,-1.24269237e+02
250.645000,-1.55678645e+02,-1.24262919e+02
250.650000,-1.55671806e+02,-1.24256080e+02
250.655000,-1.55664485e+02,-1.24248760e+02
250.660000,-1.55656713e+02,-1.24240987e+02
250.665000,-1.55648513e+02,-1.24232788e+02
250.670000,-1.55639908e+02,-1.24224184e+02
250.675000,-1.55630909e+02,-1.24215184e+02
250.680000,-1.55621514e+02,-1.24205789e+02
250.685000,-1.55611725e+02,-1.24196001e+02
250.690000,-1.55601557e+02,-1.24185831e+02
