time,F_x,F_y,F_z,T_x,T_y,T_z,U_sup,U_fluid,fluid_fraction
0.010000,-4.51401112E-04,2.64367751E-11,1.86055744E-03,-6.96494811E-11,-1.74583568E-11,9.00216079E-12,9.18889326E-05,9.36299531E-05,9.80648219E-01
0.020000,-7.22199352E-04,-1.72363692E-12,2.80996131E-03,1.67426280E-11,1.11028855E-10,6.21641547E-12,1.78384803E-04,1.81794103E-04,9.80648219E-01
0.030000,-8.64255267E-04,4.04845602E-12,3.42382683E-03,4.81589053E-11,4.29474940E-10,1.21945564E-11,2.60089783E-04,2.65085590E-04,9.80648219E-01
0.040000,-9.35158975E-04,1.85984813E-11,3.89217917E-03,6.08960499E-11,8.94983772E-10,1.65587594E-11,3.37439760E-04,3.43941860E-04,9.80648219E-01
0.050000,-9.68536122E-04,6.79274459E-11,4.28633616E-03,6.27595926E-11,1.52857098E-09,2.20376536E-11,4.10763394E-04,4.18695373E-04,9.80648219E-01
0.060000,-9.81523518E-04,3.89483816E-11,4.63490355E-03,7.41169372E-11,2.08796399E-09,1.79132930E-11,4.80278199E-04,4.89566832E-04,9.80648219E-01
0.070000,-9.82951123E-04,4.24512912E-11,4.95243921E-03,7.51715712E-11,2.74268099E-09,1.75572636E-11,5.46257207E-04,5.56834082E-04,9.80648219E-01
0.080000,-9.77169629E-04,4.94915167E-11,5.24530259E-03,7.45806270E-11,3.41700078E-09,1.69674448E-11,6.08895973E-04,6.20696273E-04,9.80648219E-01
0.090000,-9.66461548E-04,5.57490155E-11,5.51728601E-03,7.34421630E-11,4.09489405E-09,1.60783108E-11,6.68371739E-04,6.81333981E-04,9.80648219E-01
0.100000,-9.52146852E-04,6.07998575E-11,5.77091010E-03,7.20019686E-11,4.76819738E-09,1.50244761E-11,7.24848087E-04,7.38913903E-04,9.80648219E-01
0.110000,-9.35073991E-04,6.48310908E-11,6.00803439E-03,7.03589806E-11,5.43082136E-09,1.38942969E-11,7.78477736E-04,7.93591690E-04,9.80648219E-01
0.120000,-9.15844590E-04,6.80558523E-11,6.23014186E-03,6.85709093E-11,6.07803846E-09,1.27384782E-11,8.29404301E-04,8.45513723E-04,9.80648219E-01
0.130000,-8.94918552E-04,7.06318238E-11,6.43847660E-03,6.66783779E-11,6.70625438E-09,1.15864859E-11,8.77763434E-04,8.94818275E-04,9.80648219E-01
0.140000,-8.72665147E-04,7.26695301E-11,6.63411514E-03,6.47126283E-11,7.31281781E-09,1.04561064E-11,9.23683630E-04,9.41636328E-04,9.80648219E-01
0.150000,-8.49389553E-04,7.42489822E-11,6.81800703E-03,6.26986803E-11,7.89585050E-09,9.35845757E-12,9.67286806E-04,9.86092160E-04,9.80648219E-01
0.160000,-8.25348011E-04,7.54314372E-11,6.99100023E-03,6.06569309E-11,8.45410345E-09,8.30062295E-12,1.00868876E-03,1.02830381E-03,9.80648219E-01
0.170000,-8.00757463E-04,7.62663327E-11,7.15385852E-03,5.86041248E-11,8.98683801E-09,7.28708576E-12,1.04799952E-03,1.06838347E-03,9.80648219E-01
0.180000,-7.75802330E-04,7.67952888E-11,7.30727424E-03,5.65540221E-11,9.49372791E-09,6.32056332E-12,1.08532372E-03,1.10643777E-03,9.80648219E-01
0.190000,-7.50639652E-04,7.70542987E-11,7.45187812E-03,5.45179151E-11,9.97477814E-09,5.40251386E-12,1.12076081E-03,1.14256811E-03,9.80648219E-01
0.200000,-7.25403172E-04,7.70750293E-11,7.58824715E-03,5.25050258E-11,1.04302576E-08,4.53348035E-12,1.15440536E-03,1.17687091E-03,9.80648219E-01
0.210000,-7.00213396E-04,4.39882974E-10,7.71687930E-03,9.53939200E-11,1.10964619E-08,-4.05722067E-11,1.18634731E-03,1.20943785E-03,9.80648219E-01
0.220000,-6.75143430E-04,1.73603759E-10,7.83836231E-03,7.50730329E-11,1.13334219E-08,-2.32291913E-11,1.21667219E-03,1.24035612E-03,9.80648219E-01
0.230000,-6.50242380E-04,5.78028095E-11,7.95245538E-03,6.83260383E-11,1.16894773E-08,-1.67451347E-11,1.24542735E-03,1.26967402E-03,9.80648219E-01
0.240000,-6.25634862E-04,5.55922314E-12,8.06054244E-03,6.00441217E-11,1.20390679E-08,-1.07616468E-11,1.27272742E-03,1.29750838E-03,9.80648219E-01
0.250000,-6.01407108E-04,-2.50622226E-11,8.16275085E-03,5.30716604E-11,1.23676572E-08,-6.33969157E-12,1.29864548E-03,1.32393371E-03,9.80648219E-01
0.260000,-5.77593442E-04,-4.50275080E-11,8.25938847E-03,4.72591817E-11,1.26761765E-08,-3.04587813E-12,1.32325104E-03,1.34902089E-03,9.80648219E-01
0.270000,-5.54224230E-04,-5.85354765E-11,8.35077619E-03,4.23652498E-11,1.29658909E-08,-5.84760313E-13,1.34661019E-03,1.37283729E-03,9.80648219E-01
0.280000,-5.31327326E-04,-6.76640221E-11,8.43721964E-03,3.82017161E-11,1.32377594E-08,1.24434911E-12,1.36878572E-03,1.39544693E-03,9.80648219E-01
0.290000,-5.08926674E-04,-7.36530010E-11,8.51900545E-03,3.46248787E-11,1.34926094E-08,2.58743117E-12,1.38983732E-03,1.41691067E-03,9.80648219E-01
0.300000,-4.87041834E-04,-7.73324011E-11,8.59640186E-03,3.15238249E-11,1.37312355E-08,3.55438105E-12,1.40982170E-03,1.43728631E-03,9.80648219E-01
0.310000,-4.65688116E-04,-7.92928760E-11,8.66965995E-03,2.88121829E-11,1.39544296E-08,4.22927835E-12,1.42879271E-03,1.45662877E-03,9.80648219E-01
0.320000,-4.44876943E-04,-7.99678468E-11,8.73901495E-03,2.64221875E-11,1.41629836E-08,4.67703946E-12,1.44680154E-03,1.47499022E-03,9.80648219E-01
0.330000,-4.24616286E-04,-7.96805834E-11,8.80468736E-03,2.43002943E-11,1.43576830E-08,4.94810334E-12,1.46389679E-03,1.49242023E-03,9.80648219E-01
0.340000,-4.04911078E-04,-7.86745615E-11,8.86688404E-03,2.24038926E-11,1.45393005E-08,5.08185612E-12,1.48012464E-03,1.50896587E-03,9.80648219E-01
0.350000,-3.85763594E-04,-7.71345228E-11,8.92579919E-03,2.06988254E-11,1.47085896E-08,5.10918683E-12,1.49552894E-03,1.52467184E-03,9.80648219E-01
0.360000,-3.67173800E-04,-7.52015715E-11,8.98161524E-03,1.91575055E-11,1.48662804E-08,5.05441281E-12,1.51015133E-03,1.53958062E-03,9.80648219E-01
0.370000,-3.49139659E-04,-7.29840215E-11,9.03450365E-03,1.77574804E-11,1.50130761E-08,4.93674212E-12,1.52403137E-03,1.55373252E-03,9.80648219E-01
0.380000,-3.31657400E-04,-7.05654914E-11,9.08462567E-03,1.64803354E-11,1.51496507E-08,4.77139093E-12,1.53720663E-03,1.56716585E-03,9.80648219E-01
0.390000,-3.14721762E-04,-6.80108474E-11,9.13213303E-03,1.53108458E-11,1.52766481E-08,4.57044314E-12,1.54971278E-03,1.57991697E-03,9.80648219E-01
0.400000,-2.98326206E-04,-6.53705851E-11,9.17716854E-03,1.42363280E-11,1.53946809E-08,4.34351056E-12,1.56158368E-03,1.59202041E-03,9.80648219E-01
0.410000,-2.82463104E-04,-6.26841284E-11,9.21986673E-03,1.32461303E-11,1.55043307E-08,4.09824977E-12,1.57285150E-03,1.60350897E-03,9.80648219E-01
0.420000,-2.67123906E-04,-5.99823124E-11,9.26035434E-03,1.23312389E-11,1.56061482E-08,3.84076159E-12,1.58354678E-03,1.61441379E-03,9.80648219E-01
0.430000,-2.52299291E-04,-5.72892556E-11,9.29875082E-03,1.14839677E-11,1.57006536E-08,3.57590635E-12,1.59369852E-03,1.62476442E-03,9.80648219E-01
0.440000,-2.37982938E-04,-6.50109029E-11,9.33482883E-03,1.16112475E-11,1.57852894E-08,2.86035094E-12,1.60331402E-03,1.63456834E-03,9.80648219E-01
0.450000,-2.24141552E-04,-6.25496050E-11,9.36923836E-03,1.07190571E-11,1.58657997E-08,2.91465962E-12,1.61244176E-03,1.64387493E-03,9.80648219E-01
0.460000,-2.10798229E-04,-5.88859275E-11,9.40192377E-03,9.90404592E-12,1.59407058E-08,2.81048032E-12,1.62110632E-03,1.65270929E-03,9.80648219E-01
0.470000,-1.97936506E-04,-5.52092087E-11,9.43295116E-03,9.19298269E-12,1.60103214E-08,2.61980264E-12,1.62933113E-03,1.66109527E-03,9.80648219E-01
0.480000,-1.85539864E-04,-5.17665751E-11,9.46240344E-03,8.55732527E-12,1.60749256E-08,2.39127873E-12,1.63713840E-03,1.66905555E-03,9.80648219E-01
0.490000,-1.73594005E-04,-4.85828477E-11,9.49036246E-03,7.97852293E-12,1.61348197E-08,2.14767084E-12,1.64454926E-03,1.67661166E-03,9.80648219E-01
0.500000,-1.62085837E-04,-4.56291821E-11,9.51690629E-03,7.44524955E-12,1.61903136E-08,1.90049981E-12,1.65158375E-03,1.68378403E-03,9.80648219E-01
0.510000,-1.51002823E-04,-4.28713230E-11,9.54210892E-03,6.95013977E-12,1.62417094E-08,1.65605042E-12,1.65826092E-03,1.69059208E-03,9.80648219E-01
0.520000,-1.40332696E-04,-4.02814149E-11,9.56604042E-03,6.48810303E-12,1.62892949E-08,1.41787406E-12,1.66459885E-03,1.69705424E-03,9.80648219E-01
0.530000,-1.30063357E-04,-3.78388412E-11,9.58876714E-03,6.05542803E-12,1.63333407E-08,1.18798059E-12,1.67061469E-03,1.70318801E-03,9.80648219E-01
0.540000,-1.20182853E-04,-3.55286152E-11,9.61035191E-03,5.64927448E-12,1.63741003E-08,9.67470193E-13,1.67632473E-03,1.70901000E-03,9.80648219E-01
0.550000,-1.10679370E-04,-3.33395428E-11,9.63085420E-03,5.26737197E-12,1.64118105E-08,7.56889969E-13,1.68174446E-03,1.71453599E-03,9.80648219E-01
0.560000,-1.01541253E-04,-3.12629732E-11,9.65033033E-03,4.90783916E-12,1.64466922E-08,5.56444493E-13,1.68688856E-03,1.71978094E-03,9.80648219E-01
0.570000,-9.27735591E-05,1.11500144E-09,9.66878837E-03,5.07537177E-10,1.72201427E-08,-4.99117550E-10,1.69177100E-03,1.72475913E-03,9.80648219E-01
0.580000,-8.43121659E-05,2.39854771E-10,9.68642819E-03,2.59596731E-10,1.68412808E-08,-2.53732586E-10,1.69640507E-03,1.72948407E-03,9.80648219E-01
0.590000,-7.62068277E-05,-1.03174277E-10,9.70313932E-03,1.64056942E-10,1.67306793E-08,-1.59664556E-10,1.70080322E-03,1.73396847E-03,9.80648219E-01
0.600000,-6.84214055E-05,-2.69186960E-10,9.71901582E-03,1.02752139E-10,1.66753508E-08,-9.94741375E-11,1.70497741E-03,1.73822453E-03,9.80648219E-01
0.610000,-6.10037744E-05,-8.31448161E-10,9.73121971E-03,-1.46436481E-10,1.65452236E-08,5.41495240E-11,1.70875703E-03,1.74207836E-03,9.80648219E-01
