time,u,gap,f_lub,n_pairs
3.000000,-3.356687e-02,2.02903600e-02,0.000000e+00,0
3.001000,-3.356289e-02,2.02568000e-02,0.000000e+00,0
3.002000,-3.356256e-02,2.02232300e-02,0.000000e+00,0
3.003000,-3.356187e-02,2.01896700e-02,0.000000e+00,0
3.004000,-3.355747e-02,2.01561100e-02,0.000000e+00,0
3.005000,-3.355020e-02,2.01225600e-02,0.000000e+00,0
3.006000,-3.354314e-02,2.00890200e-02,0.000000e+00,0
3.007000,-3.352881e-02,2.00554900e-02,0.000000e+00,0
3.008000,-3.351267e-02,2.00219800e-02,0.000000e+00,0
3.009000,-3.349486e-02,1.99884800e-02,0.000000e+00,0
3.010000,-3.348788e-02,1.99550000e-02,0.000000e+00,0
3.011000,-3.348202e-02,1.99215100e-02,0.000000e+00,0
3.012000,-3.346915e-02,1.98880500e-02,0.000000e+00,0
3.013000,-3.345876e-02,1.98545900e-02,0.000000e+00,0
3.014000,-3.345803e-02,1.98211300e-02,0.000000e+00,0
3.015000,-3.346371e-02,1.97876600e-02,0.000000e+00,0
3.016000,-3.346551e-02,1.97542000e-02,0.000000e+00,0
3.017000,-3.345848e-02,1.97207400e-02,0.000000e+00,0
3.018000,-3.345356e-02,1.96872900e-02,0.000000e+00,0
3.019000,-3.345276e-02,1.96538300e-02,0.000000e+00,0
3.020000,-3.345033e-02,1.96203800e-02,0.000000e+00,0
3.021000,-3.344202e-02,1.95869400e-02,0.000000e+00,0
3.022000,-3.342930e-02,1.95535100e-02,0.000000e+00,0
3.023000,-3.341898e-02,1.95200900e-02,0.000000e+00,0
3.024000,-3.340156e-02,1.94866900e-02,0.000000e+00,0
3.025000,-3.338495e-02,1.94533100e-02,0.000000e+00,0
3.026000,-3.337346e-02,1.94199300e-02,0.000000e+00,0
3.027000,-3.336647e-02,1.93865700e-02,0.000000e+00,0
3.028000,-3.335827e-02,1.93532100e-02,0.000000e+00,0
3.029000,-3.334547e-02,1.93198600e-02,0.000000e+00,0
3.030000,-3.333794e-02,1.92865300e-02,0.000000e+00,0
3.031000,-3.334375e-02,1.92531800e-02,0.000000e+00,0
3.032000,-3.334716e-02,1.92198300e-02,0.000000e+00,0
3.033000,-3.334546e-02,1.91864900e-02,0.000000e+00,0
3.034000,-3.333642e-02,1.91531500e-02,0.000000e+00,0
3.035000,-3.332982e-02,1.91198200e-02,0.000000e+00,0
3.036000,-3.332924e-02,1.90864900e-02,0.000000e+00,0
3.037000,-3.332802e-02,1.90531700e-02,0.000000e+00,0
3.038000,-3.331713e-02,1.90198500e-02,0.000000e+00,0
3.039000,-3.330440e-02,1.89865400e-02,0.000000e+00,0
3.040000,-3.329599e-02,1.89532500e-02,0.000000e+00,0
3.041000,-3.328222e-02,1.89199700e-02,0.000000e+00,0
3.042000,-3.326116e-02,1.88867000e-02,0.000000e+00,0
3.043000,-3.325319e-02,1.88534500e-02,0.000000e+00,0
3.044000,-3.324669e-02,1.88202000e-02,0.000000e+00,0
3.045000,-3.323256e-02,1.87869700e-02,0.000000e+00,0
3.046000,-3.322002e-02,1.87537500e-02,0.000000e+00,0
